ID,Category,Check,Owner,Status,Severity,Score_Weight,Score_Earned,Evidence,Notes
A1,Functional,Checkout success lands on valid confirmation page,Frontend,Fail,Critical,8,0,"src/pages/Checkout.tsx:70; src/App.tsx:25-33","Navigates to /order-confirmation/:id but route is missing; user falls to NotFound"
A2,Functional,Order record created after checkout,Backend,Fail,Critical,8,0,"src/pages/Checkout.tsx:43-65; supabase/migrations/20260313080631_b1b40322-cb03-4f65-8227-af6cbe49e56b.sql:334","Checkout inserts only checkout_sessions; orders insert policy is admin-only"
A3,Payment,Multiple payment methods (card/UPI/wallet/netbanking),Product+Backend,Fail,High,6,1,"src/pages/Checkout.tsx:258-270","Only COD option present"
A4,Payment,Payment failure/cancel/retry/duplicate/refund workflows,Backend,Fail,High,5,0,"Code search: no payment webhook/provider flow in src","No gateway integration or failure handling paths found"
A5,Security,Dependency vulnerabilities remediated,Platform,Fail,High,8,2,"npm audit --json (2026-03-14)","15 vulns total: 7 high / 5 moderate / 3 low"
A6,Security,Routing libraries patched against known redirect/XSS advisories,Platform,Fail,High,5,1,"npm audit --json (react-router-dom)","react-router-dom flagged high severity"
A7,Security,Least-privilege data access via RLS,Backend,Pass,Medium,4,4,"supabase/migrations/20260313080631_b1b40322-cb03-4f65-8227-af6cbe49e56b.sql","RLS enabled and scoped policies present for carts/orders/payments"
A8,Security,Client secrets exposure check,Frontend,Pass,Low,2,2,".env variable names","Only VITE public keys detected; no service-role key found"
A9,Performance,Production build succeeds,Frontend,Pass,Medium,3,3,"npm run build","Build successful"
A10,Performance,Main JS bundle within target (<300KB gzip),Frontend,Fail,High,6,1,"npm run build output","index.js gzip 203KB + YarnBall3D gzip 232KB; heavy JS footprint"
A11,Performance,Chunking/code splitting for heavy 3D assets,Frontend,Partial,Medium,3,1,"dist assets from build","Separate YarnBall3D chunk exists but still very large"
A12,Performance,Lighthouse CWV benchmark captured,QA,Fail,Medium,5,0,"No Lighthouse artifacts in repo","No measured LCP/INP/CLS evidence"
A13,Code Quality,Lint clean with zero errors,Frontend,Fail,High,5,1,"npm run lint","8 errors, 9 warnings"
A14,Testing,Automated test coverage for core workflows,QA,Fail,High,6,1,"src/test/example.test.ts:1-7; npm run test","Only one trivial test"
A15,Testing,Test suite execution stability,QA,Pass,Low,2,2,"npm run test","1 test passed"
A16,UX,Product discovery supports search/sort/pagination,Frontend,Fail,High,5,1,"src/components/products/ProductGrid.tsx","Category filter exists; search/sort/pagination missing"
A17,UX,Cart workflow (add/remove/update/summary),Frontend,Pass,Medium,4,3,"src/pages/Cart.tsx; src/contexts/CartContext.tsx","Core cart operations present"
A18,UX,Cart persistence on auth state changes,Frontend,Pass,Medium,3,3,"src/contexts/CartContext.tsx (auth state refresh)","refreshCart called on auth change"
A19,Accessibility,Form labels correctly bound and keyboard-friendly controls,Frontend,Partial,Medium,4,2,"src/pages/Checkout.tsx:141-245","Visual labels exist; no htmlFor/id binding pattern"
A20,SEO,Technical SEO baseline (sitemap/canonical/schema),SEO,Fail,High,5,1,"public/sitemap.xml missing; index.html","Missing sitemap.xml, canonical, JSON-LD schema"
A21,SEO,Robots configuration includes sitemap hint,SEO,Fail,Medium,2,1,"public/robots.txt:1-14","Robots exists but no Sitemap directive"
A22,Analytics,GA4 ecommerce events wired (view_item/add_to_cart/begin_checkout/purchase),Analytics,Fail,High,5,0,"Search in src and index.html","No GA4 event wiring detected"
A23,Operations,Error/health monitoring hooks,DevOps,Fail,Medium,3,1,"No explicit monitoring config in repo","Need Sentry/log pipeline/uptime checks"
A24,Admin,Admin route access control,Backend+Frontend,Pass,Medium,3,3,"src/pages/Admin.tsx","Client check plus expected DB role lookup"
TOTAL,Overall,Weighted audit score,,,,100,34,,"Overall score = 34/100 (Critical readiness gaps in checkout/payment/security/test coverage)"
