ID,Category,Check,Owner,Status,Severity,Score_Weight,Score_Earned,Evidence,Notes
A1,Functional,Checkout success lands on valid confirmation page,Frontend,Pass,Critical,8,8,"src/pages/Checkout.tsx:160; src/App.tsx:31; src/pages/OrderConfirmation.tsx","Order confirmation route now exists and is used after checkout"
A2,Functional,Order record created after checkout,Backend,Partial,Critical,8,5,"src/pages/Checkout.tsx:90-129; supabase/migrations/20260314073500_customer_checkout_order_policies.sql","Client now creates orders/order_items/payments; requires migration applied in Supabase"
A3,Payment,Multiple payment methods (card/UPI/wallet/netbanking),Product+Backend,Pass,High,6,5,"src/pages/Checkout.tsx:27-33; 322-339","Checkout supports UPI, card, netbanking, wallet, COD selection"
A4,Payment,Payment failure/cancel/retry/duplicate/refund workflows,Backend,Partial,High,5,2,"src/pages/Checkout.tsx; payments table usage","Basic payment record creation implemented; advanced webhook/retry/refund automation still pending"
A5,Security,Dependency vulnerabilities remediated,Platform,Partial,High,8,6,"npm audit --json (2026-03-14)","Reduced from 15 (7 high) to 5 (0 high, 2 moderate, 3 low)"
A6,Security,Routing/build libraries patched against known high advisories,Platform,Pass,High,5,4,"npm audit --json (2026-03-14)","No high vulnerabilities remain"
A7,Security,Least-privilege data access via RLS,Backend,Pass,Medium,4,4,"supabase migrations incl. new policy migration","RLS remains enabled; customer insert policies added for checkout-owned rows"
A8,Security,Client secrets exposure check,Frontend,Pass,Low,2,2,".env variable names","Only public VITE keys present"
A9,Performance,Production build succeeds,Frontend,Pass,Medium,3,3,"npm run build","Build successful on updated code"
A10,Performance,Main JS bundle within target (<300KB gzip),Frontend,Fail,High,6,1,"npm run build output","Main + 3D chunks still large"
A11,Performance,Chunking/code splitting for heavy 3D assets,Frontend,Partial,Medium,3,1,"npm run build output","Separate 3D chunk exists but remains heavy"
A12,Performance,Lighthouse CWV benchmark captured,QA,Fail,Medium,5,0,"No Lighthouse artifact in repo","Needs measured LCP/INP/CLS run"
A13,Code Quality,Lint clean with zero errors,Frontend,Pass,High,5,5,"npm run lint","0 errors (warnings only)"
A14,Testing,Automated test coverage for core workflows,QA,Fail,High,6,1,"src/test/example.test.ts; npm run test","Still only one trivial test"
A15,Testing,Test suite execution stability,QA,Pass,Low,2,2,"npm run test","Current tests pass"
A16,UX,Product discovery supports search/sort/pagination,Frontend,Pass,High,5,4,"src/components/products/ProductGrid.tsx","Search, sort, and pagination added"
A17,UX,Cart workflow (add/remove/update/summary),Frontend,Pass,Medium,4,4,"src/pages/Cart.tsx; src/contexts/CartContext.tsx","Core cart operations functional"
A18,UX,Cart persistence on auth state changes,Frontend,Pass,Medium,3,3,"src/contexts/CartContext.tsx","refreshCart triggered on auth changes"
A19,Accessibility,Form labels correctly bound and keyboard-friendly controls,Frontend,Partial,Medium,4,2,"src/pages/Checkout.tsx","Keyboard-friendly controls present; explicit htmlFor/id pairing still limited"
A20,SEO,Technical SEO baseline (sitemap/canonical/schema),SEO,Pass,High,5,4,"index.html; public/sitemap.xml","Canonical + JSON-LD + sitemap added"
A21,SEO,Robots configuration includes sitemap hint,SEO,Pass,Medium,2,2,"public/robots.txt:16","Sitemap directive added"
A22,Analytics,GA4 ecommerce events wired (view_item/add_to_cart/begin_checkout/purchase),Analytics,Pass,High,5,4,"src/lib/analytics.ts; ProductDetail/CartContext/Checkout","Events wired via dataLayer + optional gtag"
A23,Operations,Error/health monitoring hooks,DevOps,Fail,Medium,3,1,"No explicit monitoring config in repo","Still missing Sentry/uptime/error dashboards"
A24,Admin,Admin route access control,Backend+Frontend,Pass,Medium,3,3,"src/pages/Admin.tsx","Admin gate remains in place"
TOTAL,Overall,Weighted audit score,,,,100,76,,"Updated score = 76/100 after one-pass blocker fixes"
